week,period_start,country,jobs,share
2026-W28,2026-07-06,United States,4899,0.355
2026-W28,2026-07-06,USA,1247,0.09
2026-W28,2026-07-06,United Kingdom,786,0.057
2026-W28,2026-07-06,India,653,0.047
2026-W28,2026-07-06,Australia,638,0.046
2026-W28,2026-07-06,Canada,522,0.038
2026-W28,2026-07-06,Unknown,521,0.038
2026-W28,2026-07-06,Pakistan,277,0.02
2026-W29,2026-07-13,United States,6928,0.355
2026-W29,2026-07-13,USA,1630,0.084
2026-W29,2026-07-13,United Kingdom,1114,0.057
2026-W29,2026-07-13,Unknown,1044,0.053
2026-W29,2026-07-13,Australia,950,0.049
2026-W29,2026-07-13,India,862,0.044
2026-W29,2026-07-13,Canada,703,0.036
2026-W29,2026-07-13,Pakistan,393,0.02
